url,WeekID,Week Position,Song_caller,Performer_caller,SongID_caller,Instance,Previous Week Position,Peak Position,Weeks on Chart,spotify_genre,spotify_track_id,spotify_track_album,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
http://www.billboard.com/charts/hot-100/1992-07-25,7/25/1992,15,The Best Things In Life Are Free,Luther Vandross And Janet Jackson With BBD And Ralph Tresvant,The Best Things In Life Are FreeLuther Vandross And Janet Jackson With BBD And Ralph Tresvant,1,14,10,9,"['brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll']",3JeN8VELWzS0j91jddgsYb,For Collectors Only,FALSE,157293,36,0.515,0.312,7,-10.504,1,0.0262,0.817,0.000669,0.164,0.618,98.372,3
http://www.billboard.com/charts/hot-100/1992-08-08,8/8/1992,19,The Best Things In Life Are Free,Luther Vandross And Janet Jackson With BBD And Ralph Tresvant,The Best Things In Life Are FreeLuther Vandross And Janet Jackson With BBD And Ralph Tresvant,1,17,10,11,['vintage hollywood'],46huqzAcoh2FtLmV9pGYjw,Summer Romance,FALSE,146800,1,0.366,0.355,2,-11.872,1,0.0313,0.887,0,0.242,0.547,99.136,1
http://www.billboard.com/charts/hot-100/1992-08-15,8/15/1992,20,The Best Things In Life Are Free,Luther Vandross And Janet Jackson With BBD And Ralph Tresvant,The Best Things In Life Are FreeLuther Vandross And Janet Jackson With BBD And Ralph Tresvant,1,19,10,12,"['rhythm and blues', 'rock-and-roll', 'soul', 'southern soul']",2UJ55v5EICM8T3wekSJx30,Sure Things,FALSE,175440,9,0.339,0.329,5,-12.323,1,0.0303,0.575,1.44E-06,0.26,0.415,75.332,4
http://www.billboard.com/charts/hot-100/1992-08-29,8/29/1992,21,The Best Things In Life Are Free,Luther Vandross And Janet Jackson With BBD And Ralph Tresvant,The Best Things In Life Are FreeLuther Vandross And Janet Jackson With BBD And Ralph Tresvant,1,18,10,14,"['brill building pop', 'merseybeat', 'rock-and-roll', 'rockabilly', 'surf music']",6TknUQFAnrxc3iqEOnaRrM,Best of Johnny and the Hurricanes,FALSE,115240,2,0.596,0.94,5,-4.746,1,0.0512,0.449,0.573,0.157,0.962,166.34,4
http://www.billboard.com/charts/hot-100/1992-09-19,9/19/1992,28,The Best Things In Life Are Free,Luther Vandross And Janet Jackson With BBD And Ralph Tresvant,The Best Things In Life Are FreeLuther Vandross And Janet Jackson With BBD And Ralph Tresvant,1,27,10,17,"['adult standards', 'classic soul', 'jazz blues', 'piano blues', 'soul', 'soul blues', 'vocal jazz']",2htH7r8oqqEwp3BB6oh2cU,The Genius Of Ray Charles,FALSE,222733,52,0.357,0.216,3,-12.833,1,0.0343,0.767,4.31E-06,0.531,0.283,119.57,4
http://www.billboard.com/charts/hot-100/1992-09-26,9/26/1992,39,The Best Things In Life Are Free,Luther Vandross And Janet Jackson With BBD And Ralph Tresvant,The Best Things In Life Are FreeLuther Vandross And Janet Jackson With BBD And Ralph Tresvant,1,28,10,18,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'motown', 'rock-and-roll', 'rockabilly', 'soul', 'swing', 'vocal jazz']",6fVssKMWZYFbiGEB8fvXWJ,25th Day Of December With Bobby Darin,FALSE,119866,21,0.643,0.525,0,-9.457,1,0.117,0.749,0,0.466,0.9,78.36,4
http://www.billboard.com/charts/hot-100/1992-10-10,10/10/1992,41,The Best Things In Life Are Free,Luther Vandross And Janet Jackson With BBD And Ralph Tresvant,The Best Things In Life Are FreeLuther Vandross And Janet Jackson With BBD And Ralph Tresvant,1,43,10,20,"['brill building pop', 'doo-wop', 'jump blues', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul', 'southern soul', 'torch song']",091baWWCDEowJprUts9La0,Saved,FALSE,174733,24,0.608,0.6,10,-12.372,1,0.0527,0.575,0,0.437,0.932,145.735,4
http://www.billboard.com/charts/hot-100/1989-10-21,10/21/1989,19,The Best,Tina Turner,The BestTina Turner,1,21,19,8,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'harmonica blues', 'rock-and-roll', 'traditional blues']",78Cg7PEJ7zEvhZQUdiGktL,The Very Best of Jimmy Reed,FALSE,141506,16,0.795,0.333,0,-11.348,1,0.0326,0.914,0.619,0.12,0.763,113.04,4
http://www.billboard.com/charts/hot-100/1989-11-25,11/25/1989,66,The Best,Tina Turner,The BestTina Turner,1,41,15,13,"['adult standards', 'easy listening', 'lounge']",3Lj6rIJeRhQoiZp765IYUM,The Sammy Davis Jr. Show with Special Guests Stars Frank Sinatra and Dean Martin,FALSE,165120,39,0.583,0.464,2,-11.748,0,0.466,0.871,0,0.623,0.568,114.522,4
http://www.billboard.com/charts/hot-100/1962-04-07,4/7/1962,78,The Big Draft,The Four Preps,The Big DraftThe Four Preps,1,99,78,2,"['adult standards', 'brill building pop', 'bubblegum pop', 'lounge', 'mellow gold', 'motown', 'rock-and-roll', 'rockabilly', 'soul']",5zYRLs7Zvmqu2riKoU0V0P,Under The Boardwalk,FALSE,132466,17,0.622,0.37,9,-14.766,0,0.16,0.496,0,0.376,0.385,101.108,4
http://www.billboard.com/charts/hot-100/1959-12-05,12/5/1959,17,The Big Hurt,Miss Toni Fisher,The Big HurtMiss Toni Fisher,1,18,17,4,"['adult standards', 'brill building pop', 'british invasion', 'bubblegum pop', 'classic uk pop', 'folk rock', 'merseybeat', 'rock-and-roll', 'rockabilly']",3OHz1Hr64jByifpOS61exg,Sugar And Spice,FALSE,145226,14,0.371,0.929,9,-5.37,1,0.133,0.646,0,0.348,0.836,157.875,4
http://www.billboard.com/charts/hot-100/1959-12-26,12/26/1959,3,The Big Hurt,Miss Toni Fisher,The Big HurtMiss Toni Fisher,1,4,3,7,"['heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']",4Z7iDFkWNxRfjd9jvLgbbI,The Best of Bruce & Terry,FALSE,139866,6,0.476,0.633,5,-9.105,1,0.0306,0.417,0,0.152,0.964,77.69,4
http://www.billboard.com/charts/hot-100/1960-01-02,1/2/1960,3,The Big Hurt,Miss Toni Fisher,The Big HurtMiss Toni Fisher,1,3,3,8,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'motown', 'northern soul', 'rock-and-roll']",5xS3g1B4lSplD8F8Rt2XzF,Big Girls Don't Cry and 12 Other Hits,FALSE,176106,18,0.272,0.438,8,-10.236,1,0.0335,0.492,0,0.0858,0.51,102.675,3
http://www.billboard.com/charts/hot-100/1960-01-23,1/23/1960,6,The Big Hurt,Miss Toni Fisher,The Big HurtMiss Toni Fisher,1,4,3,11,[],7FYlck8UYCdZkkpvKXfWgu,That Scratchy Guitar from Memphis,FALSE,156000,14,0.649,0.66,7,-12.647,1,0.0579,0.12,0.723,0.138,0.967,154.63,4
http://www.billboard.com/charts/hot-100/1960-01-30,1/30/1960,8,The Big Hurt,Miss Toni Fisher,The Big HurtMiss Toni Fisher,1,6,3,12,"['brill building pop', 'doo-wop', 'rock-and-roll']",4L5XnD2PMJrc9A4Mcp1asi,The Complete Best Of,FALSE,138106,0,0.504,0.731,0,-8.887,1,0.0374,0.833,0.0307,0.219,0.855,138.248,4
http://www.billboard.com/charts/hot-100/1960-02-06,2/6/1960,17,The Big Hurt,Miss Toni Fisher,The Big HurtMiss Toni Fisher,1,8,3,13,"['classic soul', 'funk', 'instrumental soul', 'memphis soul', 'motown', 'rhythm and blues', 'soul']",1jcUhX1ocqQdHsQm0mRKrX,Hold It!,FALSE,141253,8,0.889,0.363,5,-9.902,1,0.0454,0.854,0.874,0.106,0.871,127.929,4
http://www.billboard.com/charts/hot-100/1960-02-20,2/20/1960,37,The Big Hurt,Miss Toni Fisher,The Big HurtMiss Toni Fisher,1,18,3,15,"['arkansas country', 'outlaw country']",1qrtIWJwS62EVVv976tYXh,At Folsom Prison,FALSE,181813,48,0.647,0.663,0,-13.974,1,0.0982,0.0663,0.0228,0.737,0.929,129.802,4
http://www.billboard.com/charts/hot-100/1960-02-27,2/27/1960,45,The Big Hurt,Miss Toni Fisher,The Big HurtMiss Toni Fisher,1,37,3,16,"['adult standards', 'brill building pop', 'chicago soul', 'classic soul', 'motown', 'quiet storm', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']",2Jy7WpTqsa8yJtrdvfse0o,The Ultimate Jackie Wilson,FALSE,258440,19,0.292,0.322,7,-8.13,1,0.0271,0.929,0.000169,0.162,0.179,82.316,1
http://www.billboard.com/charts/hot-100/1985-11-16,11/16/1985,75,The Big Money,Rush,The Big MoneyRush,1,93,75,2,"['art rock', 'brill building pop', 'british folk', 'british invasion', 'classic rock', 'classic uk pop', 'folk', 'folk rock', 'glam rock', 'mellow gold', 'protopunk', 'psychedelic folk', 'psychedelic rock', 'rock', 'roots rock', 'scottish singer-songwriter', 'singer-songwriter', 'soft rock', 'traditional folk']",4aDBO2DBS6XPhnyHhALxYz,What's Bin Did and What's Bin Hid,FALSE,165200,46,0.458,0.621,4,-11.507,1,0.0262,0.0627,0.00806,0.304,0.696,101.748,4
http://www.billboard.com/charts/hot-100/1985-11-30,11/30/1985,70,The Big Money,Rush,The Big MoneyRush,1,73,70,4,"['adult standards', 'brill building pop', 'easy listening', 'mellow gold']",2lZTbu5C5I5P1C7jAXO48P,The Essential Andy Williams,FALSE,180106,16,0.347,0.293,2,-12.821,0,0.0331,0.745,0.0112,0.16,0.219,115.66,4
http://www.billboard.com/charts/hot-100/1985-12-14,12/14/1985,54,The Big Money,Rush,The Big MoneyRush,1,61,54,6,"['adult standards', 'rock-and-roll', 'rockabilly']",0puKKRrt0j7O8wDroYOedE,Double Trouble,FALSE,130386,17,0.669,0.859,2,-11.993,1,0.0458,0.162,4.30E-06,0.224,0.936,101.429,4
